number,date,close_index
5235,2008-02-28,24591.689453
5236,2008-02-29,24331.669922
5237,2008-03-03,23584.970703
5238,2008-03-04,23119.869141
5239,2008-03-05,23114.339844
5240,2008-03-06,23342.730469
5241,2008-03-07,22501.330078
5242,2008-03-10,22705.050781
5243,2008-03-11,22995.349609
5244,2008-03-12,23422.759766
5245,2008-03-13,22301.640625
5246,2008-03-14,22237.109375
5247,2008-03-17,21084.609375
5248,2008-03-18,21384.609375
5249,2008-03-19,21866.939453
5250,2008-03-20,21108.220703
5251,2008-03-25,22464.519531
5252,2008-03-26,22617.009766
5253,2008-03-27,22664.220703
5254,2008-03-28,23285.949219
5255,2008-03-31,22849.199219
5256,2008-04-01,23137.460938
5257,2008-04-02,23872.429688
5258,2008-04-03,24264.630859
5259,2008-04-07,24578.759766
5260,2008-04-08,24311.689453
5261,2008-04-09,23984.570313
5262,2008-04-10,24187.099609
5263,2008-04-11,24667.789063
5264,2008-04-14,23811.199219
5265,2008-04-15,23901.330078
5266,2008-04-16,23878.349609
5267,2008-04-17,24258.960938
5268,2008-04-18,24197.779297
5269,2008-04-21,24721.669922
5270,2008-04-22,24939.150391
5271,2008-04-23,25289.240234
5272,2008-04-24,25680.779297
5273,2008-04-25,25516.779297
5274,2008-04-28,25666.289063
5275,2008-04-29,25914.150391
5276,2008-04-30,25755.349609
5277,2008-05-02,26241.019531
5278,2008-05-05,26183.949219
5279,2008-05-06,26262.130859
5280,2008-05-07,25610.210938
5281,2008-05-08,25449.789063
5282,2008-05-09,25063.169922
5283,2008-05-13,25552.769531
5284,2008-05-14,25533.480469
5285,2008-05-15,25513.710938
5286,2008-05-16,25618.859375
5287,2008-05-19,25742.230469
5288,2008-05-20,25169.460938
5289,2008-05-21,25460.289063
5290,2008-05-22,25043.119141
5291,2008-05-23,24714.070313
5292,2008-05-26,24127.310547
5293,2008-05-27,24282.039063
5294,2008-05-28,24249.509766
5295,2008-05-29,24383.990234
5296,2008-05-30,24533.119141
5297,2008-06-02,24831.359375
5298,2008-06-03,24375.759766
5299,2008-06-04,24123.250000
5300,2008-06-05,24255.289063
5301,2008-06-06,24402.179688
5302,2008-06-10,23375.519531
5303,2008-06-11,23327.599609
5304,2008-06-12,23023.859375
5305,2008-06-13,22592.300781
5306,2008-06-16,23029.689453
5307,2008-06-17,23057.990234
5308,2008-06-18,23325.800781
5309,2008-06-19,22797.609375
5310,2008-06-20,22745.599609
5311,2008-06-23,22714.960938
5312,2008-06-24,22456.019531
5313,2008-06-25,22635.160156
5314,2008-06-26,22455.669922
5315,2008-06-27,22042.349609
5316,2008-06-30,22102.009766
5317,2008-07-02,21704.449219
5318,2008-07-03,21242.779297
5319,2008-07-04,21423.820313
5320,2008-07-07,21913.060547
5321,2008-07-08,21220.810547
5322,2008-07-09,21805.810547
5323,2008-07-10,21821.779297
5324,2008-07-11,22184.550781
5325,2008-07-14,22014.460938
5326,2008-07-15,21174.769531
5327,2008-07-16,21223.500000
5328,2008-07-17,21734.720703
5329,2008-07-18,21874.189453
5330,2008-07-21,22532.900391
5331,2008-07-22,22527.480469
5332,2008-07-23,23134.550781
5333,2008-07-24,23087.720703
5334,2008-07-25,22740.710938
5335,2008-07-28,22687.210938
5336,2008-07-29,22258.000000
5337,2008-07-30,22690.599609
5338,2008-07-31,22731.099609
5339,2008-08-01,22862.599609
5340,2008-08-04,22514.919922
5341,2008-08-05,21949.750000
5342,2008-08-07,22104.199219
5343,2008-08-08,21885.210938
5344,2008-08-11,21859.339844
5345,2008-08-12,21640.890625
5346,2008-08-13,21293.320313
5347,2008-08-14,21392.710938
5348,2008-08-15,21160.580078
5349,2008-08-18,20930.669922
5350,2008-08-19,20484.369141
5351,2008-08-20,20931.259766
5352,2008-08-21,20392.060547
5353,2008-08-22,20392.060547
5354,2008-08-25,21104.789063
5355,2008-08-26,21056.660156
5356,2008-08-27,21464.720703
5357,2008-08-28,20972.289063
5358,2008-08-29,21261.890625
5359,2008-09-01,20906.310547
5360,2008-09-02,21042.460938
5361,2008-09-03,20585.060547
5362,2008-09-04,20389.480469
5363,2008-09-05,19933.279297
5364,2008-09-08,20794.269531
5365,2008-09-09,20491.109375
5366,2008-09-10,19999.779297
5367,2008-09-11,19388.720703
5368,2008-09-12,19352.900391
5369,2008-09-16,18300.609375
5370,2008-09-17,17637.189453
5371,2008-09-18,17632.460938
5372,2008-09-19,19327.730469
5373,2008-09-22,19632.199219
5374,2008-09-23,18872.849609
5375,2008-09-24,18961.990234
5376,2008-09-25,18934.429688
5377,2008-09-26,18682.089844
5378,2008-09-29,17880.679688
5379,2008-09-30,18016.210938
5380,2008-10-02,18211.109375
5381,2008-10-03,17682.400391
5382,2008-10-06,16803.759766
5383,2008-10-08,15431.730469
5384,2008-10-09,15943.240234
5385,2008-10-10,14796.870117
5386,2008-10-13,16312.160156
5387,2008-10-14,16832.880859
5388,2008-10-15,15998.299805
5389,2008-10-16,15230.519531
5390,2008-10-17,14554.209961
5391,2008-10-20,15323.009766
5392,2008-10-21,15041.169922
5393,2008-10-22,14266.599609
5394,2008-10-23,13760.490234
5395,2008-10-24,12618.379883
5396,2008-10-27,11015.839844
5397,2008-10-28,12596.290039
5398,2008-10-29,12702.070313
5399,2008-10-30,14329.849609
5400,2008-10-31,13968.669922
5401,2008-11-03,14344.370117
5402,2008-11-04,14384.339844
5403,2008-11-05,14840.160156
5404,2008-11-06,13790.040039
5405,2008-11-07,14243.429688
5406,2008-11-10,14744.629883
5407,2008-11-11,14040.900391
5408,2008-11-12,13939.089844
5409,2008-11-13,13221.349609
5410,2008-11-14,13542.660156
5411,2008-11-17,13529.530273
5412,2008-11-18,12915.889648
5413,2008-11-19,12815.799805
5414,2008-11-20,12298.559570
5415,2008-11-21,12659.200195
5416,2008-11-24,12457.940430
5417,2008-11-25,12878.599609
5418,2008-11-26,13369.450195
5419,2008-11-27,13552.059570
5420,2008-11-28,13888.240234
5421,2008-12-01,14108.839844
5422,2008-12-02,13405.849609
5423,2008-12-03,13588.660156
5424,2008-12-04,13509.780273
5425,2008-12-05,13846.089844
5426,2008-12-08,15044.870117
5427,2008-12-09,14753.219727
5428,2008-12-10,15577.740234
5429,2008-12-11,15613.900391
5430,2008-12-12,14758.389648
5431,2008-12-15,15046.950195
5432,2008-12-16,15130.209961
5433,2008-12-17,15460.519531
5434,2008-12-18,15497.809570
5435,2008-12-19,15127.509766
5436,2008-12-22,14622.389648
5437,2008-12-23,14220.790039
5438,2008-12-24,14184.139648
5439,2008-12-29,14328.480469
5440,2008-12-30,14235.500000
5441,2008-12-31,14387.480469
5442,2009-01-02,15042.809570
5443,2009-01-05,15563.309570
5444,2009-01-06,15509.509766
